"Environment and Climate Change Canada"
"Monthly Values for March - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"WETASKIWIN AGCM","52.980","-113.444","AB","-6.2","5",NA,"12.8","3","-33.0","2","",,NA,"18.1","7",NA,"","7","",,NA,"630.4","0.0","3017282"
"EDMONTON STONY PLAIN CS","53.547","-114.108","AB","-5.3","0",NA,"12.6","0","-22.9","0","",,NA,"19.2","0",NA,"1.0","7","",,NA,"723.0","0.0","301A001"
"ESTHER 1","51.670","-110.206","AB","-3.3","1",NA,"18.3","0","-26.1","1","",,NA,"8.9","1",NA,"","3","",,NA,"639.8","0.0","301B460"
"UNIVERSITY OF ALBERTA METABOLIC CENTRE","53.517","-113.533","AB","-4.3","0","-0.3","14.0","0","-24.0","0","22.0","0","168.0","22.0","0","163.0","0.0","9","","",NA,"690.1","0.0","301FFNJ"
"WAINWRIGHT CFB AIRFIELD 21","52.829","-111.096","AB","-5.3","1",NA,"14.0","0","-25.5","1","",,NA,"7.0","2",NA,"","3","",,NA,"697.7","0.0","301S001"
"ACADIA VALLEY","51.066","-110.317","AB","-2.4","1",NA,"17.8","0","-23.4","1","",,NA,"11.4","2",NA,"","4","",,NA,"611.7","0.0","3020035"
"ATLEE AGCM","50.810","-111.006","AB","-1.9","1",NA,"18.5","0","-22.1","1","",,NA,"12.0","1",NA,"","4","",,NA,"597.5","0.0","3020405"
"BEISEKER AGCM","51.379","-113.357","AB","-3.3","1",NA,"15.2","0","-25.6","1","",,NA,"18.8","2",NA,"","7","",,NA,"638.4","0.0","3020610"
"BIG VALLEY AGCM","51.998","-112.803","AB","-3.6","6",NA,"13.6","6","-21.7","0","",,NA,"10.0","6",NA,"","5","",,NA,"539.2","0.0","3020679"
"CRAIGMYLE AGCM","51.775","-112.252","AB","-3.6","2",NA,"15.5","0","-24.4","2","",,NA,"24.4","2",NA,"","4","",,NA,"626.6","0.0","3021912"
"CRAIGMYLE","51.767","-112.283","AB","-3.3","2","-0.4","15.0","2","-24.0","2","28.0","2",NA,"40.0","2",NA,"0.0","7","","",NA,"616.9","0.0","3021940"
